Order ID,Order Date,Customer ID,Category,Sub-Category,Price,Quantity,Discount,Sales,Profit,Region,City,Payment Mode
ORD31,2023-12-08,CUST1105,Clothing,T-shirt,9524,1,0.23,7333.48,729.73,South,Jaipur,Cash
ORD32,2024-09-26,CUST2531,Home,Furniture,4872,2,0.1,8769.6,1787.36,North,Delhi,Net Banking
ORD33,2023-10-29,CUST8836,Home,Appliances,8035,5,0.18,32943.5,5977.05,East,Jaipur,Debit Card
ORD34,2024-08-26,CUST7506,Electronics,Laptop,3963,5,0.05,18824.25,988.14,North,Jaipur,Net Banking
ORD35,2023-02-27,CUST6542,Sports,Outdoor,7178,3,0.33,14427.78,1918.44,South,Mumbai,Cash
ORD36,2023-01-09,CUST7586,Home,Decor,8004,5,0.3,28014.0,4514.25,East,Jaipur,Credit Card
ORD37,2023-10-31,CUST8500,Home,Appliances,7551,3,0.04,21746.88,4686.28,East,Jaipur,Net Banking
ORD38,2023-03-23,CUST6849,Clothing,Jacket,6433,3,0.22,15053.22,3142.15,North,Chennai,UPI
ORD39,2023-09-22,CUST9421,Home,Furniture,5421,4,0.13,18865.08,5493.42,South,Jaipur,Net Banking
ORD40,2023-01-07,CUST9605,Electronics,Laptop,4441,1,0.2,3552.8,956.2,North,Bangalore,Net Banking
ORD41,2023-07-06,CUST5860,Electronics,Mobile,262,4,0.02,1027.04,76.4,South,Delhi,Net Banking
ORD42,2023-09-12,CUST1170,Sports,Fitness,6694,4,0.11,23830.64,5701.51,West,Kolkata,Credit Card
ORD43,2024-01-25,CUST6643,Electronics,Headphones,399,4,0.04,1532.16,243.26,South,Chennai,UPI
ORD44,2024-05-09,CUST6105,Electronics,Mobile,206,2,0.35,267.8,16.1,South,Bangalore,Net Banking
ORD45,2023-05-28,CUST9030,Home,Furniture,2128,4,0.06,8001.28,697.46,North,Delhi,UPI
ORD46,2023-01-28,CUST6075,Sports,Fitness,7496,3,0.15,19114.8,5564.3,East,Kolkata,Debit Card
ORD47,2024-03-09,CUST1196,Clothing,Jeans,3885,2,0.24,5905.2,1742.75,East,Bangalore,Credit Card
ORD48,2023-12-03,CUST4654,Electronics,Headphones,6513,3,0.04,18757.44,4871.79,North,Delhi,Cash
ORD49,2023-09-14,CUST7038,Home,Appliances,8861,1,0.03,8595.17,857.15,North,Jaipur,Credit Card
ORD50,2024-11-18,CUST9383,Home,Furniture,1790,1,0.03,1736.3,397.5,West,Delhi,Debit Card
ORD51,2023-07-10,CUST4699,Sports,Outdoor,4096,1,0.25,3072.0,833.48,West,Delhi,Credit Card
ORD52,2024-09-28,CUST7335,Sports,Equipment,6810,1,0.25,5107.5,533.62,East,Delhi,Cash
ORD53,2024-05-15,CUST8857,Electronics,Mobile,8612,4,0.13,29969.76,5912.26,East,Bangalore,Debit Card
ORD54,2024-12-29,CUST3585,Electronics,Mobile,4527,1,0.26,3349.98,900.53,West,Jaipur,UPI
ORD55,2024-08-30,CUST3564,Clothing,T-shirt,3686,2,0.01,7298.28,462.51,South,Delhi,UPI
ORD56,2023-12-27,CUST4086,Sports,Equipment,1603,3,0.25,3606.75,364.48,North,Bangalore,Net Banking
ORD57,2024-12-14,CUST6234,Home,Appliances,2005,1,0.15,1704.25,91.63,East,Jaipur,Cash
ORD58,2024-07-13,CUST1073,Clothing,Jeans,8050,5,0.03,39042.5,3874.62,West,Kolkata,Cash
ORD59,2023-12-21,CUST2750,Home,Appliances,8460,3,0.26,18781.2,1531.42,East,Chennai,Net Banking
ORD60,2024-08-26,CUST2049,Electronics,Headphones,1371,2,0.08,2522.64,697.46,South,Chennai,Credit Card
ORD61,2023-01-24,CUST9946,Electronics,Tablet,8392,1,0.33,5622.64,1255.72,West,Mumbai,Credit Card
ORD62,2024-06-23,CUST5902,Electronics,Mobile,9150,2,0.13,15921.0,833.66,South,Mumbai,Net Banking
ORD63,2023-08-13,CUST5263,Sports,Shoes,124,3,0.06,349.68,47.64,South,Bangalore,UPI
ORD64,2023-04-23,CUST7043,Electronics,Headphones,5519,2,0.21,8720.02,1174.52,South,Delhi,Net Banking
ORD65,2024-01-29,CUST9468,Electronics,Laptop,7220,4,0.11,25703.2,2644.84,West,Mumbai,UPI
ORD66,2023-01-29,CUST7517,Sports,Shoes,6347,5,0.24,24118.6,5092.2,West,Delhi,Cash
ORD67,2023-07-30,CUST4296,Sports,Fitness,1549,3,0.14,3996.42,810.36,South,Kolkata,Debit Card
ORD68,2023-01-26,CUST2122,Clothing,Jacket,3532,3,0.0,10596.0,667.27,West,Kolkata,UPI
ORD69,2024-01-14,CUST5054,Home,Kitchen,9766,3,0.32,19922.64,2419.92,West,Mumbai,Debit Card
ORD70,2023-05-12,CUST8562,Electronics,Mobile,2186,1,0.17,1814.38,163.42,North,Mumbai,Cash
ORD71,2023-06-15,CUST6767,Sports,Equipment,3469,1,0.27,2532.37,717.97,South,Chennai,Credit Card
ORD72,2024-10-08,CUST8920,Clothing,T-shirt,7840,2,0.29,11132.8,1601.4,West,Jaipur,UPI
ORD73,2023-11-22,CUST6470,Sports,Fitness,1238,2,0.11,2203.64,503.09,North,Jaipur,Cash
ORD74,2024-11-23,CUST4233,Electronics,Mobile,2777,1,0.08,2554.84,336.85,North,Chennai,Net Banking
ORD75,2023-02-21,CUST5084,Electronics,Headphones,9951,3,0.24,22688.28,1927.16,North,Delhi,Debit Card
ORD76,2024-09-24,CUST4238,Sports,Shoes,9537,1,0.21,7534.23,1455.64,South,Jaipur,UPI
ORD77,2024-01-13,CUST9398,Clothing,Jeans,3397,3,0.1,9171.9,2467.1,North,Delhi,Cash
ORD78,2023-08-11,CUST3881,Home,Furniture,2437,1,0.08,2242.04,427.59,East,Mumbai,Credit Card
ORD79,2023-09-27,CUST8597,Clothing,T-shirt,7309,1,0.26,5408.66,1491.96,North,Bangalore,UPI
ORD80,2023-06-01,CUST6492,Clothing,Shirt,802,3,0.28,1732.32,101.46,North,Chennai,Credit Card
ORD81,2024-10-30,CUST8890,Electronics,Mobile,3639,1,0.13,3165.93,409.91,West,Chennai,Cash
ORD82,2023-01-06,CUST9417,Home,Kitchen,3110,1,0.29,2208.1,442.59,South,Mumbai,Net Banking
ORD83,2024-01-09,CUST1818,Sports,Fitness,661,1,0.12,581.68,122.25,West,Jaipur,Debit Card
ORD84,2024-07-17,CUST6648,Clothing,T-shirt,328,4,0.35,852.8,141.05,East,Mumbai,Net Banking
ORD85,2023-06-26,CUST1178,Clothing,Shirt,8592,5,0.06,40382.4,3668.97,North,Kolkata,Cash
ORD86,2023-08-05,CUST4928,Home,Kitchen,6489,3,0.05,18493.65,2671.05,North,Kolkata,Credit Card
ORD87,2024-05-22,CUST6473,Sports,Outdoor,7929,1,0.07,7373.97,1376.75,North,Bangalore,UPI
ORD88,2024-11-11,CUST5122,Electronics,Mobile,2928,3,0.23,6763.68,441.59,East,Jaipur,Net Banking
ORD89,2024-06-23,CUST1878,Electronics,Headphones,2733,4,0.28,7871.04,701.67,North,Jaipur,Cash
ORD90,2023-06-03,CUST7964,Sports,Shoes,1518,1,0.21,1199.22,256.51,South,Jaipur,Credit Card
ORD91,2024-10-06,CUST7837,Electronics,Headphones,9662,4,0.15,32850.8,8399.96,East,Chennai,Net Banking
ORD92,2023-07-28,CUST3984,Electronics,Headphones,5729,3,0.11,15296.43,3004.05,East,Kolkata,Cash
ORD93,2024-05-29,CUST7216,Sports,Equipment,2117,5,0.2,8468.0,2400.97,East,Chennai,Cash
ORD94,2024-07-17,CUST5578,Electronics,Mobile,5188,3,0.35,10116.6,1635.01,West,Mumbai,UPI
ORD95,2024-09-30,CUST8791,Home,Kitchen,1558,2,0.15,2648.6,220.83,West,Bangalore,Net Banking
ORD96,2023-04-28,CUST5078,Home,Furniture,6846,2,0.09,12459.72,3207.22,North,Bangalore,UPI
ORD97,2024-04-28,CUST5109,Electronics,Headphones,4852,3,0.32,9898.08,1607.51,East,Kolkata,Net Banking
ORD98,2023-07-22,CUST8637,Sports,Fitness,5430,4,0.23,16724.4,2365.08,North,Delhi,Debit Card
ORD99,2023-02-05,CUST4076,Home,Kitchen,1298,5,0.29,4607.9,1294.84,South,Chennai,Cash
ORD100,2024-04-14,CUST5591,Home,Appliances,6207,1,0.27,4531.11,416.92,East,Kolkata,Net Banking
ORD101,2024-02-17,CUST1971,Clothing,T-shirt,2405,1,0.07,2236.65,569.74,West,Bangalore,Credit Card
ORD102,2024-09-02,CUST3640,Clothing,Jeans,9658,5,0.05,45875.5,5802.3,North,Mumbai,Net Banking
ORD103,2023-12-31,CUST8253,Sports,Shoes,3337,1,0.09,3036.67,363.89,North,Kolkata,UPI
ORD104,2024-12-15,CUST2178,Home,Appliances,5626,3,0.0,16878.0,2980.04,South,Delhi,Cash
ORD105,2024-07-28,CUST5394,Sports,Fitness,1850,5,0.01,9157.5,963.58,South,Mumbai,UPI
ORD106,2023-03-20,CUST7536,Electronics,Laptop,8556,5,0.14,36790.8,1872.41,South,Delhi,Debit Card
ORD107,2023-11-14,CUST1412,Clothing,T-shirt,3730,1,0.26,2760.2,622.54,South,Chennai,Cash
ORD108,2024-08-04,CUST2173,Clothing,Shirt,1580,3,0.33,3175.8,786.42,East,Chennai,Net Banking
ORD109,2024-10-12,CUST9723,Sports,Shoes,9742,5,0.17,40429.3,8337.66,North,Delhi,Debit Card
ORD110,2023-07-25,CUST7800,Electronics,Laptop,7499,5,0.1,33745.5,2953.81,North,Bangalore,Net Banking
ORD111,2024-10-08,CUST5007,Home,Decor,1083,1,0.17,898.89,240.83,West,Delhi,Debit Card
ORD112,2023-08-14,CUST6116,Electronics,Tablet,7526,4,0.35,19567.6,2143.99,West,Delhi,UPI
ORD113,2023-01-12,CUST7917,Clothing,Shirt,8946,4,0.04,34352.64,1765.49,West,Kolkata,Net Banking
ORD114,2023-07-06,CUST5665,Home,Appliances,3768,4,0.31,10399.68,1065.85,North,Jaipur,Net Banking
ORD115,2023-10-18,CUST5092,Electronics,Mobile,6960,3,0.12,18374.4,5362.35,North,Kolkata,Net Banking
ORD116,2023-03-16,CUST2316,Electronics,Laptop,1316,1,0.34,868.56,246.78,East,Delhi,Credit Card
ORD117,2024-09-28,CUST5441,Clothing,T-shirt,6506,1,0.19,5269.86,587.71,North,Jaipur,Credit Card
ORD118,2023-04-08,CUST4943,Sports,Outdoor,2822,4,0.02,11062.24,3030.65,North,Bangalore,Credit Card
ORD119,2024-07-23,CUST4895,Sports,Outdoor,8274,2,0.04,15886.08,1277.23,East,Delhi,Debit Card
ORD120,2024-12-07,CUST6103,Sports,Equipment,5439,3,0.03,15827.49,2209.58,South,Bangalore,Credit Card
ORD121,2024-03-16,CUST6561,Home,Kitchen,9827,1,0.18,8058.14,1412.6,South,Jaipur,UPI
ORD122,2023-03-04,CUST4606,Home,Decor,1280,3,0.14,3302.4,368.36,South,Delhi,UPI
ORD123,2024-11-30,CUST7124,Sports,Shoes,1291,3,0.04,3718.08,781.89,East,Jaipur,Cash
ORD124,2023-11-16,CUST9037,Electronics,Laptop,6397,4,0.32,17399.84,5014.01,East,Mumbai,Net Banking
ORD125,2023-05-15,CUST7219,Sports,Outdoor,818,3,0.24,1865.04,424.14,North,Delhi,Debit Card
ORD126,2024-04-30,CUST1703,Home,Appliances,4316,3,0.28,9322.56,504.74,West,Kolkata,UPI
ORD127,2023-01-30,CUST1056,Clothing,T-shirt,4193,5,0.15,17820.25,3343.73,North,Bangalore,Cash
ORD128,2023-06-05,CUST8276,Home,Furniture,5069,1,0.16,4257.96,522.79,North,Jaipur,Net Banking
ORD129,2024-07-09,CUST6216,Clothing,Jacket,7611,4,0.16,25572.96,5196.16,South,Chennai,UPI
ORD130,2024-10-30,CUST9747,Electronics,Laptop,3819,4,0.16,12831.84,1806.59,West,Kolkata,Debit Card
ORD131,2024-07-31,CUST5799,Sports,Fitness,2585,5,0.01,12795.75,1889.66,North,Chennai,Credit Card
ORD132,2024-05-31,CUST3994,Electronics,Mobile,8770,5,0.29,31133.5,4858.62,South,Delhi,Net Banking
ORD133,2023-01-12,CUST9901,Clothing,Jeans,6687,4,0.25,20061.0,4751.28,South,Jaipur,Debit Card
ORD134,2024-08-28,CUST3456,Clothing,Jacket,8587,4,0.29,24387.08,6290.55,North,Mumbai,UPI
ORD135,2023-09-12,CUST1817,Sports,Equipment,1345,2,0.25,2017.5,311.21,North,Jaipur,Net Banking
ORD136,2023-11-17,CUST3275,Clothing,T-shirt,8241,1,0.0,8241.0,1256.72,West,Jaipur,Cash
ORD137,2024-08-17,CUST4886,Electronics,Mobile,3780,3,0.26,8391.6,1652.83,North,Kolkata,UPI
ORD138,2023-01-09,CUST1342,Clothing,Shirt,5497,2,0.23,8465.38,1488.37,East,Bangalore,Credit Card
ORD139,2024-01-24,CUST2024,Home,Furniture,3605,5,0.05,17123.75,1614.0,West,Kolkata,Cash
ORD140,2023-08-02,CUST3181,Sports,Fitness,2422,3,0.06,6830.04,1728.43,East,Kolkata,Credit Card
ORD141,2024-09-18,CUST6468,Home,Decor,323,5,0.02,1582.7,108.03,West,Delhi,Net Banking
ORD142,2023-01-01,CUST3571,Electronics,Tablet,9783,2,0.32,13304.88,2775.52,East,Mumbai,Net Banking
ORD143,2023-01-24,CUST9016,Electronics,Laptop,7261,3,0.08,20040.36,2634.76,East,Kolkata,Credit Card
ORD144,2023-01-26,CUST4495,Clothing,T-shirt,8195,4,0.22,25568.4,5885.99,South,Chennai,Credit Card
ORD145,2023-09-15,CUST4176,Clothing,Jeans,4547,1,0.28,3273.84,973.42,West,Bangalore,UPI
ORD146,2023-05-07,CUST7129,Clothing,T-shirt,6949,5,0.33,23279.15,4055.74,North,Jaipur,UPI
ORD147,2023-02-06,CUST6704,Sports,Equipment,2862,4,0.18,9387.36,1315.89,South,Jaipur,Net Banking
ORD148,2024-02-04,CUST7921,Clothing,Jacket,3393,1,0.03,3291.21,226.68,South,Chennai,Net Banking
ORD149,2024-04-19,CUST3955,Home,Decor,5280,3,0.16,13305.6,1889.17,East,Mumbai,Debit Card
ORD150,2023-08-17,CUST7474,Clothing,Shirt,2469,1,0.08,2271.48,328.75,East,Chennai,Net Banking
ORD151,2023-06-12,CUST7999,Electronics,Mobile,1041,4,0.09,3789.24,612.19,East,Delhi,Credit Card
ORD152,2024-01-11,CUST4332,Electronics,Tablet,2522,5,0.1,11349.0,820.04,South,Kolkata,Cash
ORD153,2024-08-13,CUST2538,Electronics,Laptop,4923,1,0.06,4627.62,779.49,East,Kolkata,UPI
ORD154,2024-02-14,CUST3686,Clothing,T-shirt,6839,4,0.31,18875.64,3984.05,North,Chennai,Credit Card
ORD155,2023-07-13,CUST7381,Sports,Shoes,4448,1,0.15,3780.8,281.09,East,Bangalore,UPI
ORD156,2024-05-01,CUST7276,Electronics,Tablet,6340,2,0.15,10778.0,685.2,North,Jaipur,Net Banking
ORD157,2024-10-18,CUST6921,Clothing,Shirt,5308,4,0.14,18259.52,1462.2,West,Mumbai,Net Banking
ORD158,2023-12-14,CUST4037,Clothing,Jacket,7454,1,0.25,5590.5,626.2,West,Mumbai,Credit Card
ORD159,2024-09-20,CUST7143,Electronics,Laptop,6621,2,0.35,8607.3,1910.05,East,Mumbai,Cash
ORD160,2024-06-28,CUST8014,Home,Appliances,2007,2,0.27,2930.22,333.58,South,Jaipur,Credit Card
ORD161,2024-08-26,CUST6788,Home,Appliances,5389,2,0.25,8083.5,977.19,North,Jaipur,Credit Card
ORD162,2023-05-10,CUST4744,Sports,Outdoor,9837,4,0.02,38561.04,10555.86,South,Delhi,Net Banking
ORD163,2023-02-04,CUST8530,Home,Furniture,8998,5,0.12,39591.2,2001.42,East,Bangalore,Debit Card
ORD164,2024-05-11,CUST5255,Electronics,Laptop,2215,4,0.06,8328.4,1584.75,West,Kolkata,Credit Card
ORD165,2023-11-09,CUST6751,Electronics,Tablet,6291,2,0.03,12204.54,3160.03,North,Chennai,UPI
ORD166,2024-05-06,CUST6115,Sports,Fitness,8495,2,0.17,14101.7,932.77,North,Jaipur,Net Banking
ORD167,2024-12-19,CUST5724,Clothing,T-shirt,5077,5,0.19,20561.85,2913.29,South,Jaipur,Credit Card
ORD168,2023-01-26,CUST5224,Electronics,Laptop,5799,3,0.26,12873.78,3314.82,South,Bangalore,UPI
ORD169,2023-11-28,CUST7164,Sports,Shoes,2991,2,0.04,5742.72,382.74,East,Delhi,Net Banking
ORD170,2023-07-27,CUST4334,Clothing,T-shirt,2245,3,0.11,5994.15,311.6,West,Mumbai,Credit Card
ORD171,2024-03-18,CUST2621,Clothing,Shirt,6418,4,0.11,22848.08,6339.35,East,Kolkata,UPI
ORD172,2023-03-14,CUST9494,Sports,Fitness,3354,5,0.32,11403.6,1826.56,East,Kolkata,UPI
ORD173,2023-08-01,CUST7104,Clothing,T-shirt,5174,3,0.34,10244.52,2197.24,South,Chennai,Debit Card
ORD174,2023-06-27,CUST1965,Electronics,Laptop,6456,1,0.08,5939.52,545.26,North,Kolkata,Net Banking
ORD175,2024-03-15,CUST3844,Sports,Fitness,7696,2,0.07,14314.56,3762.14,South,Chennai,Cash
ORD176,2023-09-07,CUST7101,Clothing,Shirt,3332,5,0.1,14994.0,4199.75,West,Chennai,Debit Card
ORD177,2024-09-16,CUST5183,Home,Furniture,3748,5,0.07,17428.2,3629.15,South,Kolkata,UPI
ORD178,2023-12-20,CUST3579,Clothing,Jeans,1541,5,0.11,6857.45,984.32,South,Bangalore,Credit Card
ORD179,2024-12-08,CUST2372,Electronics,Laptop,8719,4,0.16,29295.84,6083.29,North,Kolkata,UPI
ORD180,2023-06-01,CUST1388,Electronics,Headphones,5762,5,0.1,25929.0,7168.48,West,Bangalore,Debit Card
ORD181,2023-03-12,CUST6287,Electronics,Mobile,2083,5,0.21,8227.85,2166.08,West,Bangalore,Debit Card
ORD182,2023-08-27,CUST1017,Home,Kitchen,4586,4,0.0,18344.0,3009.54,South,Chennai,Credit Card
ORD183,2023-01-19,CUST9503,Clothing,Jacket,7015,4,0.15,23851.0,5317.1,West,Bangalore,Credit Card
ORD184,2024-08-30,CUST3893,Electronics,Headphones,1529,2,0.33,2048.86,608.8,East,Bangalore,UPI
ORD185,2024-02-12,CUST8139,Home,Kitchen,7697,1,0.24,5849.72,689.33,South,Delhi,Net Banking
ORD186,2024-02-22,CUST6103,Home,Kitchen,9816,3,0.2,23558.4,2245.91,West,Chennai,Debit Card
ORD187,2023-07-10,CUST9307,Sports,Fitness,2269,3,0.02,6670.86,623.79,South,Mumbai,Debit Card
ORD188,2024-11-01,CUST9771,Electronics,Headphones,2872,2,0.23,4422.88,1251.73,North,Delhi,UPI
ORD189,2024-11-09,CUST9939,Home,Kitchen,4635,4,0.29,13163.4,1461.36,West,Bangalore,Debit Card
ORD190,2023-11-28,CUST3534,Clothing,Shirt,3559,2,0.28,5124.96,1052.98,East,Kolkata,Cash
ORD191,2023-06-25,CUST6903,Electronics,Tablet,352,5,0.26,1302.4,235.03,East,Delhi,Debit Card
ORD192,2023-07-08,CUST8746,Home,Kitchen,7462,4,0.1,26863.2,3764.36,East,Jaipur,Debit Card
ORD193,2024-05-06,CUST5558,Sports,Outdoor,8525,1,0.13,7416.75,639.98,West,Chennai,Debit Card
ORD194,2024-04-22,CUST5956,Electronics,Laptop,7146,2,0.19,11576.52,1095.01,North,Delhi,Debit Card
ORD195,2024-05-14,CUST9067,Sports,Fitness,2706,5,0.08,12447.6,2742.98,West,Delhi,Credit Card
ORD196,2023-07-03,CUST1543,Clothing,Jacket,5731,3,0.21,13582.47,705.21,South,Bangalore,Debit Card
ORD197,2024-12-02,CUST2717,Sports,Shoes,5931,2,0.34,7828.92,1519.98,South,Mumbai,Credit Card
ORD198,2024-01-19,CUST9014,Sports,Equipment,6222,3,0.02,18292.68,2755.45,South,Bangalore,Net Banking
ORD199,2023-10-14,CUST7451,Sports,Fitness,3737,3,0.05,10650.45,2417.99,East,Kolkata,Cash
ORD200,2024-06-01,CUST7857,Home,Kitchen,4015,5,0.14,17264.5,1180.06,South,Bangalore,Credit Card
ORD201,2024-09-25,CUST2940,Home,Appliances,8881,2,0.31,12255.78,2329.19,West,Bangalore,Cash
ORD202,2023-01-25,CUST5712,Electronics,Headphones,8281,3,0.25,18632.25,5449.3,South,Jaipur,Cash
ORD203,2023-12-25,CUST4264,Home,Decor,4430,1,0.07,4119.9,232.93,South,Chennai,Net Banking
ORD204,2024-07-14,CUST1662,Home,Furniture,8577,5,0.16,36023.4,7737.88,North,Mumbai,Net Banking
ORD205,2023-09-03,CUST6306,Electronics,Tablet,6255,1,0.16,5254.2,425.65,East,Mumbai,Credit Card
ORD206,2024-06-29,CUST1841,Sports,Fitness,7453,5,0.27,27203.45,4490.33,North,Mumbai,Cash
ORD207,2024-07-14,CUST3561,Clothing,Jacket,1312,5,0.33,4395.2,228.06,East,Kolkata,Net Banking
ORD208,2023-10-29,CUST1134,Electronics,Mobile,579,1,0.02,567.42,84.99,North,Mumbai,Net Banking
ORD209,2024-11-06,CUST3819,Sports,Equipment,1543,1,0.27,1126.39,109.55,East,Bangalore,Net Banking
ORD210,2023-10-15,CUST6630,Electronics,Mobile,950,3,0.26,2109.0,300.06,West,Chennai,Debit Card
ORD211,2024-06-02,CUST7458,Electronics,Headphones,550,5,0.08,2530.0,413.47,West,Mumbai,UPI
ORD212,2024-01-10,CUST3598,Home,Furniture,362,5,0.04,1737.6,468.52,South,Chennai,Net Banking
ORD213,2024-03-21,CUST2018,Electronics,Laptop,1620,4,0.29,4600.8,820.32,East,Jaipur,Debit Card
ORD214,2023-05-07,CUST5442,Electronics,Tablet,3612,1,0.27,2636.76,297.67,North,Chennai,Cash
ORD215,2024-06-25,CUST5874,Electronics,Headphones,8945,5,0.31,30860.25,1862.4,North,Chennai,Cash
ORD216,2024-10-02,CUST7602,Clothing,Jacket,5170,4,0.15,17578.0,2386.9,West,Mumbai,UPI
ORD217,2023-12-28,CUST7304,Electronics,Mobile,9341,2,0.29,13264.22,2709.83,East,Kolkata,Net Banking
ORD218,2024-09-09,CUST9802,Electronics,Mobile,6407,5,0.29,22744.85,3687.66,West,Chennai,Credit Card
ORD219,2024-10-09,CUST8184,Electronics,Tablet,2601,5,0.08,11964.6,2944.97,East,Delhi,Debit Card
ORD220,2023-09-16,CUST3189,Sports,Outdoor,8260,4,0.26,24449.6,4785.8,South,Jaipur,UPI
ORD221,2024-09-24,CUST3454,Electronics,Laptop,5294,4,0.08,19481.92,2480.71,West,Mumbai,UPI
ORD222,2024-06-02,CUST3582,Sports,Shoes,7396,3,0.18,18194.16,1142.99,South,Kolkata,Net Banking
ORD223,2024-07-27,CUST6354,Electronics,Headphones,3558,2,0.07,6617.88,1482.16,West,Jaipur,Net Banking
ORD224,2024-09-09,CUST6164,Electronics,Mobile,8462,5,0.08,38925.2,6717.75,North,Delhi,UPI
ORD225,2024-10-15,CUST8288,Clothing,Jeans,5670,3,0.25,12757.5,3544.49,East,Jaipur,Debit Card
ORD226,2024-04-29,CUST1483,Home,Appliances,335,2,0.3,469.0,48.9,East,Chennai,Debit Card
ORD227,2024-11-24,CUST3617,Clothing,Jacket,8042,1,0.12,7076.96,670.29,West,Kolkata,Cash
ORD228,2023-02-21,CUST5855,Electronics,Laptop,9432,3,0.29,20090.16,3906.97,West,Bangalore,Cash
ORD229,2023-12-10,CUST4562,Electronics,Headphones,5699,1,0.11,5072.11,470.02,East,Jaipur,Debit Card
ORD230,2024-01-05,CUST9242,Home,Furniture,2680,3,0.14,6914.4,943.71,East,Jaipur,Net Banking
ORD231,2023-07-23,CUST3172,Electronics,Tablet,7785,3,0.25,17516.25,4805.72,South,Bangalore,Credit Card
ORD232,2024-07-01,CUST5687,Clothing,Jeans,400,4,0.21,1264.0,153.15,East,Kolkata,Debit Card
ORD233,2024-04-29,CUST3050,Sports,Fitness,7303,3,0.08,20156.28,4860.65,East,Chennai,Credit Card
ORD234,2024-11-27,CUST1492,Electronics,Mobile,6679,4,0.06,25113.04,3789.43,West,Kolkata,Net Banking
ORD235,2024-08-28,CUST5698,Electronics,Headphones,3164,3,0.29,6739.32,924.73,West,Bangalore,Debit Card
